Question ID,Category,Difficulty,Question,Rank,Retrieved PDF
1,Diseases,Easy,What are the symptoms of blast disease in rice?,1,nutrient_management_manual.pdf
2,Diseases,Easy,What are the symptoms of bacterial leaf blight?,1,pest_control.pdf
2,Diseases,Easy,What are the symptoms of bacterial leaf blight?,2,Rice.pdf
2,Diseases,Easy,What are the symptoms of bacterial leaf blight?,3,rice_varieties.pdf
2,Diseases,Easy,What are the symptoms of bacterial leaf blight?,4,irrigation manual.pdf
2,Diseases,Easy,What are the symptoms of bacterial leaf blight?,5,manual_on_rice_cultivation_Mozambique.pdf
3,Diseases,Easy,What causes brown spot disease in rice?,1,Rice.pdf
3,Diseases,Easy,What causes brown spot disease in rice?,2,nutrient_management_manual.pdf
3,Diseases,Easy,What causes brown spot disease in rice?,3,manual_on_rice_cultivation_Mozambique.pdf
3,Diseases,Easy,What causes brown spot disease in rice?,4,pests_irri.pdf
3,Diseases,Easy,What causes brown spot disease in rice?,5,irrigation manual.pdf
4,Diseases,Easy,How can sheath blight be identified?,1,AGRICULTURE AND IRRIGATION.pdf
4,Diseases,Easy,How can sheath blight be identified?,2,irri_diseases.pdf
4,Diseases,Easy,How can sheath blight be identified?,3,irrigation manual.pdf
4,Diseases,Easy,How can sheath blight be identified?,4,manual_on_rice_cultivation_Mozambique.pdf
4,Diseases,Easy,How can sheath blight be identified?,5,MODUL PADDY FERTILIZATION  IRRIGATION.pdf
5,Diseases,Easy,What are the common fungal diseases affecting paddy?,1,rice_cultivation.pdf
5,Diseases,Easy,What are the common fungal diseases affecting paddy?,2,nutrient_management_manual.pdf
5,Diseases,Easy,What are the common fungal diseases affecting paddy?,3,manual_on_rice_cultivation_Mozambique.pdf
5,Diseases,Easy,What are the common fungal diseases affecting paddy?,4,pest_control.pdf
6,Diseases,Medium,How can blast disease be managed in rice cultivation?,1,irrigation manual.pdf
6,Diseases,Medium,How can blast disease be managed in rice cultivation?,2,Rice.pdf
6,Diseases,Medium,How can blast disease be managed in rice cultivation?,3,indian_rice_varieties.pdf
6,Diseases,Medium,How can blast disease be managed in rice cultivation?,4,pests_irri.pdf
6,Diseases,Medium,How can blast disease be managed in rice cultivation?,5,nutrient_management_manual.pdf
7,Diseases,Medium,How can bacterial leaf blight be controlled?,1,irrigation manual.pdf
7,Diseases,Medium,How can bacterial leaf blight be controlled?,2,pests_irri.pdf
7,Diseases,Medium,How can bacterial leaf blight be controlled?,3,pest_control.pdf
7,Diseases,Medium,How can bacterial leaf blight be controlled?,4,manual_on_rice_cultivation_Mozambique.pdf
7,Diseases,Medium,How can bacterial leaf blight be controlled?,5,MODUL PADDY FERTILIZATION  IRRIGATION.pdf
8,Diseases,Medium,Which environmental conditions favor blast disease?,1,irrigation manual.pdf
8,Diseases,Medium,Which environmental conditions favor blast disease?,2,rice_varieties.pdf
8,Diseases,Medium,Which environmental conditions favor blast disease?,3,manual_on_rice_cultivation_Mozambique.pdf
8,Diseases,Medium,Which environmental conditions favor blast disease?,4,pest_control.pdf
9,Diseases,Medium,What preventive measures reduce rice disease incidence?,1,manual_on_rice_cultivation_Mozambique.pdf
9,Diseases,Medium,What preventive measures reduce rice disease incidence?,2,MODUL PADDY FERTILIZATION  IRRIGATION.pdf
9,Diseases,Medium,What preventive measures reduce rice disease incidence?,3,pest_control.pdf
9,Diseases,Medium,What preventive measures reduce rice disease incidence?,4,irrigation manual.pdf
9,Diseases,Medium,What preventive measures reduce rice disease incidence?,5,Paddy.pdf
10,Diseases,Medium,How should infected rice plants be managed?,1,nutrient_management_manual.pdf
10,Diseases,Medium,How should infected rice plants be managed?,2,irrigation manual.pdf
10,Diseases,Medium,How should infected rice plants be managed?,3,manual_on_rice_cultivation_Mozambique.pdf
10,Diseases,Medium,How should infected rice plants be managed?,4,irri_diseases.pdf
10,Diseases,Medium,How should infected rice plants be managed?,5,1-FERTILIZING 00.pdf
11,Diseases,Hard,Compare blast disease and bacterial leaf blight based on symptoms and management.,1,manual_on_rice_cultivation_Mozambique.pdf
11,Diseases,Hard,Compare blast disease and bacterial leaf blight based on symptoms and management.,2,pests_irri.pdf
11,Diseases,Hard,Compare blast disease and bacterial leaf blight based on symptoms and management.,3,12-Steps-Required-for-Successful-Rice-Production.pdf
11,Diseases,Hard,Compare blast disease and bacterial leaf blight based on symptoms and management.,4,Nutrient_management.pdf
11,Diseases,Hard,Compare blast disease and bacterial leaf blight based on symptoms and management.,5,pest_control.pdf
12,Diseases,Hard,Which rice diseases spread rapidly under humid conditions?,1,manual_on_rice_cultivation_Mozambique.pdf
12,Diseases,Hard,Which rice diseases spread rapidly under humid conditions?,2,irrigation manual.pdf
12,Diseases,Hard,Which rice diseases spread rapidly under humid conditions?,3,1-FERTILIZING 00.pdf
12,Diseases,Hard,Which rice diseases spread rapidly under humid conditions?,4,MODUL PADDY FERTILIZATION  IRRIGATION.pdf
12,Diseases,Hard,Which rice diseases spread rapidly under humid conditions?,5,pests_irri.pdf
13,Diseases,Hard,Explain integrated disease management practices for paddy.,1,manual_on_rice_cultivation_Mozambique.pdf
13,Diseases,Hard,Explain integrated disease management practices for paddy.,2,irrigation manual.pdf
13,Diseases,Hard,Explain integrated disease management practices for paddy.,3,Nutrient_management.pdf
13,Diseases,Hard,Explain integrated disease management practices for paddy.,4,MODUL PADDY FERTILIZATION  IRRIGATION.pdf
13,Diseases,Hard,Explain integrated disease management practices for paddy.,5,nutrient_management_manual.pdf
14,Pests,Easy,What are the major insect pests of rice?,1,pests_irri.pdf
14,Pests,Easy,What are the major insect pests of rice?,2,diseases_of_rice.pdf
14,Pests,Easy,What are the major insect pests of rice?,3,rice_cultivation.pdf
14,Pests,Easy,What are the major insect pests of rice?,4,irrigation manual.pdf
14,Pests,Easy,What are the major insect pests of rice?,5,nutrient_management_manual.pdf
15,Pests,Easy,How can brown planthopper be identified?,1,manual_on_rice_cultivation_Mozambique.pdf
15,Pests,Easy,How can brown planthopper be identified?,2,1-FERTILIZING 00.pdf
15,Pests,Easy,How can brown planthopper be identified?,3,nutrient_management_manual.pdf
15,Pests,Easy,How can brown planthopper be identified?,4,pest_control.pdf
15,Pests,Easy,How can brown planthopper be identified?,5,cultivation_irri.pdf
16,Pests,Easy,Which pest causes dead hearts in rice?,1,irrigation manual.pdf
16,Pests,Easy,Which pest causes dead hearts in rice?,2,pests_of_paddy.pdf
16,Pests,Easy,Which pest causes dead hearts in rice?,3,pest_control.pdf
16,Pests,Easy,Which pest causes dead hearts in rice?,4,Weed-management-in-rice-.pdf
16,Pests,Easy,Which pest causes dead hearts in rice?,5,pests_irri.pdf
17,Pests,Easy,What damage is caused by stem borers?,1,diseases_of_rice.pdf
17,Pests,Easy,What damage is caused by stem borers?,2,Rice.pdf
17,Pests,Easy,What damage is caused by stem borers?,3,irrigation manual.pdf
17,Pests,Easy,What damage is caused by stem borers?,4,manual_on_rice_cultivation_Mozambique.pdf
17,Pests,Easy,What damage is caused by stem borers?,5,Weed-management-in-rice-.pdf
18,Pests,Easy,How can leaf folder infestation be recognized?,1,rice_varieties.pdf
18,Pests,Easy,How can leaf folder infestation be recognized?,2,manual_on_rice_cultivation_Mozambique.pdf
18,Pests,Easy,How can leaf folder infestation be recognized?,3,Rice.pdf
18,Pests,Easy,How can leaf folder infestation be recognized?,4,nutrient_management_manual.pdf
18,Pests,Easy,How can leaf folder infestation be recognized?,5,1-FERTILIZING 00.pdf
19,Pests,Medium,How can brown planthopper be controlled?,1,Rice.pdf
19,Pests,Medium,How can brown planthopper be controlled?,2,irrigation manual.pdf
19,Pests,Medium,How can brown planthopper be controlled?,3,manual_on_rice_cultivation_Mozambique.pdf
19,Pests,Medium,How can brown planthopper be controlled?,4,irri_diseases.pdf
19,Pests,Medium,How can brown planthopper be controlled?,5,1-FERTILIZING 00.pdf
20,Pests,Medium,What integrated pest management practices are recommended for rice?,1,manual_on_rice_cultivation_Mozambique.pdf
20,Pests,Medium,What integrated pest management practices are recommended for rice?,2,irrigation manual.pdf
20,Pests,Medium,What integrated pest management practices are recommended for rice?,3,Weed-management-in-rice-.pdf
20,Pests,Medium,What integrated pest management practices are recommended for rice?,4,Rice.pdf
20,Pests,Medium,What integrated pest management practices are recommended for rice?,5,irri_diseases.pdf
21,Pests,Medium,Which biological methods are used to control rice pests?,1,Nutrient_management.pdf
21,Pests,Medium,Which biological methods are used to control rice pests?,2,pests_irri.pdf
21,Pests,Medium,Which biological methods are used to control rice pests?,3,12-Steps-Required-for-Successful-Rice-Production.pdf
21,Pests,Medium,Which biological methods are used to control rice pests?,4,irrigation manual.pdf
21,Pests,Medium,Which biological methods are used to control rice pests?,5,manual_on_rice_cultivation_Mozambique.pdf
22,Pests,Medium,How can stem borer infestation be prevented?,1,irrigation manual.pdf
22,Pests,Medium,How can stem borer infestation be prevented?,2,irri_diseases.pdf
22,Pests,Medium,How can stem borer infestation be prevented?,3,pests_irri.pdf
22,Pests,Medium,How can stem borer infestation be prevented?,4,AGRICULTURE AND IRRIGATION.pdf
22,Pests,Medium,How can stem borer infestation be prevented?,5,nutrient_management_manual.pdf
23,Pests,Medium,When should insecticides be applied for rice pests?,1,irrigation manual.pdf
23,Pests,Medium,When should insecticides be applied for rice pests?,2,manual_on_rice_cultivation_Mozambique.pdf
24,Pests,Hard,Compare chemical and biological control methods for rice pests.,1,Weed_control.pdf
24,Pests,Hard,Compare chemical and biological control methods for rice pests.,2,MODUL PADDY FERTILIZATION  IRRIGATION.pdf
24,Pests,Hard,Compare chemical and biological control methods for rice pests.,3,indian_rice_varieties.pdf
24,Pests,Hard,Compare chemical and biological control methods for rice pests.,4,Weed-management-in-rice-.pdf
24,Pests,Hard,Compare chemical and biological control methods for rice pests.,5,irrigation manual.pdf
25,Pests,Hard,Explain integrated pest management for sustainable rice cultivation.,1,MODUL PADDY FERTILIZATION  IRRIGATION.pdf
25,Pests,Hard,Explain integrated pest management for sustainable rice cultivation.,2,pest_control.pdf
25,Pests,Hard,Explain integrated pest management for sustainable rice cultivation.,3,pests_irri.pdf
25,Pests,Hard,Explain integrated pest management for sustainable rice cultivation.,4,Weed-management-in-rice-.pdf
25,Pests,Hard,Explain integrated pest management for sustainable rice cultivation.,5,cultivation_irri.pdf
26,Cultivation,Easy,What are the major stages of rice cultivation?,1,pests_irri.pdf
26,Cultivation,Easy,What are the major stages of rice cultivation?,2,indian_rice_varieties.pdf
26,Cultivation,Easy,What are the major stages of rice cultivation?,3,manual_on_rice_cultivation_Mozambique.pdf
26,Cultivation,Easy,What are the major stages of rice cultivation?,4,Paddy.pdf
26,Cultivation,Easy,What are the major stages of rice cultivation?,5,fertilizers.pdf
27,Cultivation,Easy,How should land be prepared before sowing rice?,1,Rice.pdf
