Question ID,Category,Difficulty,Question,Rank,Retrieved PDF
1,Diseases,Easy,What are the symptoms of blast disease in rice?,1,irri_diseases.pdf
1,Diseases,Easy,What are the symptoms of blast disease in rice?,2,rice_cultivation.pdf
1,Diseases,Easy,What are the symptoms of blast disease in rice?,3,diseases_of_rice.pdf
1,Diseases,Easy,What are the symptoms of blast disease in rice?,4,pest_control.pdf
1,Diseases,Easy,What are the symptoms of blast disease in rice?,5,2-6-Diseases-of-Rice.pdf
2,Diseases,Easy,What are the symptoms of bacterial leaf blight?,1,2-6-Diseases-of-Rice.pdf
2,Diseases,Easy,What are the symptoms of bacterial leaf blight?,2,irri_diseases.pdf
2,Diseases,Easy,What are the symptoms of bacterial leaf blight?,3,diseases_of_rice.pdf
2,Diseases,Easy,What are the symptoms of bacterial leaf blight?,4,Paddy.pdf
3,Diseases,Easy,What causes brown spot disease in rice?,1,irri_diseases.pdf
3,Diseases,Easy,What causes brown spot disease in rice?,2,2-6-Diseases-of-Rice.pdf
3,Diseases,Easy,What causes brown spot disease in rice?,3,nutrient_management_manual.pdf
3,Diseases,Easy,What causes brown spot disease in rice?,4,diseases_of_rice.pdf
4,Diseases,Easy,How can sheath blight be identified?,1,irri_diseases.pdf
4,Diseases,Easy,How can sheath blight be identified?,2,pest_control.pdf
4,Diseases,Easy,How can sheath blight be identified?,3,2-6-Diseases-of-Rice.pdf
5,Diseases,Easy,What are the common fungal diseases affecting paddy?,1,1-FERTILIZING 00.pdf
5,Diseases,Easy,What are the common fungal diseases affecting paddy?,2,pests_irri.pdf
5,Diseases,Easy,What are the common fungal diseases affecting paddy?,3,diseases_of_rice.pdf
5,Diseases,Easy,What are the common fungal diseases affecting paddy?,4,2-6-Diseases-of-Rice.pdf
5,Diseases,Easy,What are the common fungal diseases affecting paddy?,5,irri_diseases.pdf
6,Diseases,Medium,How can blast disease be managed in rice cultivation?,1,irri_diseases.pdf
6,Diseases,Medium,How can blast disease be managed in rice cultivation?,2,rice_cultivation.pdf
6,Diseases,Medium,How can blast disease be managed in rice cultivation?,3,pests_irri.pdf
6,Diseases,Medium,How can blast disease be managed in rice cultivation?,4,2-6-Diseases-of-Rice.pdf
6,Diseases,Medium,How can blast disease be managed in rice cultivation?,5,diseases_of_rice.pdf
7,Diseases,Medium,How can bacterial leaf blight be controlled?,1,irri_diseases.pdf
7,Diseases,Medium,How can bacterial leaf blight be controlled?,2,Paddy.pdf
7,Diseases,Medium,How can bacterial leaf blight be controlled?,3,rice_cultivation.pdf
7,Diseases,Medium,How can bacterial leaf blight be controlled?,4,diseases_of_rice.pdf
7,Diseases,Medium,How can bacterial leaf blight be controlled?,5,2-6-Diseases-of-Rice.pdf
8,Diseases,Medium,Which environmental conditions favor blast disease?,1,irri_diseases.pdf
8,Diseases,Medium,Which environmental conditions favor blast disease?,2,diseases_of_rice.pdf
8,Diseases,Medium,Which environmental conditions favor blast disease?,3,rice_cultivation.pdf
8,Diseases,Medium,Which environmental conditions favor blast disease?,4,2-6-Diseases-of-Rice.pdf
8,Diseases,Medium,Which environmental conditions favor blast disease?,5,Rice.pdf
9,Diseases,Medium,What preventive measures reduce rice disease incidence?,1,12-Steps-Required-for-Successful-Rice-Production.pdf
9,Diseases,Medium,What preventive measures reduce rice disease incidence?,2,irri_diseases.pdf
9,Diseases,Medium,What preventive measures reduce rice disease incidence?,3,pests_irri.pdf
9,Diseases,Medium,What preventive measures reduce rice disease incidence?,4,pest_control.pdf
9,Diseases,Medium,What preventive measures reduce rice disease incidence?,5,Weed_control.pdf
10,Diseases,Medium,How should infected rice plants be managed?,1,rice_cultivation.pdf
10,Diseases,Medium,How should infected rice plants be managed?,2,2-6-Diseases-of-Rice.pdf
10,Diseases,Medium,How should infected rice plants be managed?,3,diseases_of_rice.pdf
10,Diseases,Medium,How should infected rice plants be managed?,4,12-Steps-Required-for-Successful-Rice-Production.pdf
10,Diseases,Medium,How should infected rice plants be managed?,5,pests_irri.pdf
11,Diseases,Hard,Compare blast disease and bacterial leaf blight based on symptoms and management.,1,2-6-Diseases-of-Rice.pdf
11,Diseases,Hard,Compare blast disease and bacterial leaf blight based on symptoms and management.,2,Paddy.pdf
11,Diseases,Hard,Compare blast disease and bacterial leaf blight based on symptoms and management.,3,diseases_of_rice.pdf
11,Diseases,Hard,Compare blast disease and bacterial leaf blight based on symptoms and management.,4,pest_control.pdf
11,Diseases,Hard,Compare blast disease and bacterial leaf blight based on symptoms and management.,5,irri_diseases.pdf
12,Diseases,Hard,Which rice diseases spread rapidly under humid conditions?,1,pests_irri.pdf
12,Diseases,Hard,Which rice diseases spread rapidly under humid conditions?,2,irri_diseases.pdf
12,Diseases,Hard,Which rice diseases spread rapidly under humid conditions?,3,2-6-Diseases-of-Rice.pdf
12,Diseases,Hard,Which rice diseases spread rapidly under humid conditions?,4,diseases_of_rice.pdf
12,Diseases,Hard,Which rice diseases spread rapidly under humid conditions?,5,pest_control.pdf
13,Diseases,Hard,Explain integrated disease management practices for paddy.,1,diseases_of_rice.pdf
13,Diseases,Hard,Explain integrated disease management practices for paddy.,2,pest_control.pdf
13,Diseases,Hard,Explain integrated disease management practices for paddy.,3,Weed-management-in-rice-.pdf
13,Diseases,Hard,Explain integrated disease management practices for paddy.,4,12-Steps-Required-for-Successful-Rice-Production.pdf
14,Pests,Easy,What are the major insect pests of rice?,1,pests_irri.pdf
14,Pests,Easy,What are the major insect pests of rice?,2,pest_control.pdf
15,Pests,Easy,How can brown planthopper be identified?,1,diseases_of_rice.pdf
15,Pests,Easy,How can brown planthopper be identified?,2,Rice.pdf
15,Pests,Easy,How can brown planthopper be identified?,3,pests_of_paddy.pdf
15,Pests,Easy,How can brown planthopper be identified?,4,irri_diseases.pdf
15,Pests,Easy,How can brown planthopper be identified?,5,pests_irri.pdf
16,Pests,Easy,Which pest causes dead hearts in rice?,1,pests_irri.pdf
16,Pests,Easy,Which pest causes dead hearts in rice?,2,pest_control.pdf
17,Pests,Easy,What damage is caused by stem borers?,1,pests_irri.pdf
17,Pests,Easy,What damage is caused by stem borers?,2,rice_cultivation.pdf
17,Pests,Easy,What damage is caused by stem borers?,3,irri_diseases.pdf
18,Pests,Easy,How can leaf folder infestation be recognized?,1,pests_irri.pdf
18,Pests,Easy,How can leaf folder infestation be recognized?,2,2-6-Diseases-of-Rice.pdf
18,Pests,Easy,How can leaf folder infestation be recognized?,3,irri_diseases.pdf
18,Pests,Easy,How can leaf folder infestation be recognized?,4,1-FERTILIZING 00.pdf
19,Pests,Medium,How can brown planthopper be controlled?,1,Rice.pdf
19,Pests,Medium,How can brown planthopper be controlled?,2,pests_irri.pdf
19,Pests,Medium,How can brown planthopper be controlled?,3,pest_control.pdf
20,Pests,Medium,What integrated pest management practices are recommended for rice?,1,pest_control.pdf
20,Pests,Medium,What integrated pest management practices are recommended for rice?,2,pests_irri.pdf
20,Pests,Medium,What integrated pest management practices are recommended for rice?,3,12-Steps-Required-for-Successful-Rice-Production.pdf
21,Pests,Medium,Which biological methods are used to control rice pests?,1,pests_irri.pdf
21,Pests,Medium,Which biological methods are used to control rice pests?,2,pest_control.pdf
22,Pests,Medium,How can stem borer infestation be prevented?,1,pests_irri.pdf
22,Pests,Medium,How can stem borer infestation be prevented?,2,pest_control.pdf
22,Pests,Medium,How can stem borer infestation be prevented?,3,irri_diseases.pdf
22,Pests,Medium,How can stem borer infestation be prevented?,4,Rice.pdf
