Question ID,Category,Difficulty,Question,Rank,Retrieved PDF
1,Diseases,Easy,What are the symptoms of blast disease in rice?,1,irri_diseases.pdf
1,Diseases,Easy,What are the symptoms of blast disease in rice?,2,diseases_of_rice.pdf
1,Diseases,Easy,What are the symptoms of blast disease in rice?,3,rice_cultivation.pdf
1,Diseases,Easy,What are the symptoms of blast disease in rice?,4,indian_rice_varieties.pdf
2,Diseases,Easy,What are the symptoms of bacterial leaf blight?,1,irri_diseases.pdf
2,Diseases,Easy,What are the symptoms of bacterial leaf blight?,2,diseases_of_rice.pdf
2,Diseases,Easy,What are the symptoms of bacterial leaf blight?,3,rice_cultivation.pdf
2,Diseases,Easy,What are the symptoms of bacterial leaf blight?,4,2-6-Diseases-of-Rice.pdf
2,Diseases,Easy,What are the symptoms of bacterial leaf blight?,5,pest_control.pdf
3,Diseases,Easy,What causes brown spot disease in rice?,1,irri_diseases.pdf
3,Diseases,Easy,What causes brown spot disease in rice?,2,nutrient_management_manual.pdf
3,Diseases,Easy,What causes brown spot disease in rice?,3,diseases_of_rice.pdf
3,Diseases,Easy,What causes brown spot disease in rice?,4,2-6-Diseases-of-Rice.pdf
3,Diseases,Easy,What causes brown spot disease in rice?,5,rice_cultivation.pdf
4,Diseases,Easy,How can sheath blight be identified?,1,irri_diseases.pdf
4,Diseases,Easy,How can sheath blight be identified?,2,2-6-Diseases-of-Rice.pdf
4,Diseases,Easy,How can sheath blight be identified?,3,diseases_of_rice.pdf
5,Diseases,Easy,What are the common fungal diseases affecting paddy?,1,2-6-Diseases-of-Rice.pdf
5,Diseases,Easy,What are the common fungal diseases affecting paddy?,2,diseases_of_rice.pdf
5,Diseases,Easy,What are the common fungal diseases affecting paddy?,3,rice_cultivation.pdf
5,Diseases,Easy,What are the common fungal diseases affecting paddy?,4,irri_diseases.pdf
5,Diseases,Easy,What are the common fungal diseases affecting paddy?,5,1-FERTILIZING 00.pdf
6,Diseases,Medium,How can blast disease be managed in rice cultivation?,1,irri_diseases.pdf
6,Diseases,Medium,How can blast disease be managed in rice cultivation?,2,12-Steps-Required-for-Successful-Rice-Production.pdf
6,Diseases,Medium,How can blast disease be managed in rice cultivation?,3,rice_cultivation.pdf
6,Diseases,Medium,How can blast disease be managed in rice cultivation?,4,Paddy.pdf
6,Diseases,Medium,How can blast disease be managed in rice cultivation?,5,Rice.pdf
7,Diseases,Medium,How can bacterial leaf blight be controlled?,1,irri_diseases.pdf
7,Diseases,Medium,How can bacterial leaf blight be controlled?,2,diseases_of_rice.pdf
8,Diseases,Medium,Which environmental conditions favor blast disease?,1,12-Steps-Required-for-Successful-Rice-Production.pdf
8,Diseases,Medium,Which environmental conditions favor blast disease?,2,pests_irri.pdf
8,Diseases,Medium,Which environmental conditions favor blast disease?,3,irri_diseases.pdf
8,Diseases,Medium,Which environmental conditions favor blast disease?,4,diseases_of_rice.pdf
8,Diseases,Medium,Which environmental conditions favor blast disease?,5,rice_cultivation.pdf
9,Diseases,Medium,What preventive measures reduce rice disease incidence?,1,12-Steps-Required-for-Successful-Rice-Production.pdf
9,Diseases,Medium,What preventive measures reduce rice disease incidence?,2,pest_control.pdf
9,Diseases,Medium,What preventive measures reduce rice disease incidence?,3,irri_diseases.pdf
9,Diseases,Medium,What preventive measures reduce rice disease incidence?,4,pests_irri.pdf
10,Diseases,Medium,How should infected rice plants be managed?,1,irri_diseases.pdf
10,Diseases,Medium,How should infected rice plants be managed?,2,12-Steps-Required-for-Successful-Rice-Production.pdf
10,Diseases,Medium,How should infected rice plants be managed?,3,rice_cultivation.pdf
10,Diseases,Medium,How should infected rice plants be managed?,4,diseases_of_rice.pdf
10,Diseases,Medium,How should infected rice plants be managed?,5,pests_irri.pdf
11,Diseases,Hard,Compare blast disease and bacterial leaf blight based on symptoms and management.,1,indian_rice_varieties.pdf
11,Diseases,Hard,Compare blast disease and bacterial leaf blight based on symptoms and management.,2,pest_control.pdf
11,Diseases,Hard,Compare blast disease and bacterial leaf blight based on symptoms and management.,3,diseases_of_rice.pdf
11,Diseases,Hard,Compare blast disease and bacterial leaf blight based on symptoms and management.,4,irri_diseases.pdf
11,Diseases,Hard,Compare blast disease and bacterial leaf blight based on symptoms and management.,5,rice_cultivation.pdf
12,Diseases,Hard,Which rice diseases spread rapidly under humid conditions?,1,irri_diseases.pdf
12,Diseases,Hard,Which rice diseases spread rapidly under humid conditions?,2,diseases_of_rice.pdf
12,Diseases,Hard,Which rice diseases spread rapidly under humid conditions?,3,pests_irri.pdf
12,Diseases,Hard,Which rice diseases spread rapidly under humid conditions?,4,2-6-Diseases-of-Rice.pdf
12,Diseases,Hard,Which rice diseases spread rapidly under humid conditions?,5,12-Steps-Required-for-Successful-Rice-Production.pdf
