Question ID,Category,Difficulty,Question,Rank,Retrieved PDF,Relevant
1,Diseases,Easy,What are the symptoms of blast disease in rice?,5,2-6-Diseases-of-Rice.pdf,0
1,Diseases,Easy,What are the symptoms of blast disease in rice?,4,Rice.pdf,1
1,Diseases,Easy,What are the symptoms of blast disease in rice?,2,Weed-management-in-rice-.pdf,0
1,Diseases,Easy,What are the symptoms of blast disease in rice?,2,diseases_of_rice.pdf,1
1,Diseases,Easy,What are the symptoms of blast disease in rice?,4,indian_rice_varieties.pdf,0
1,Diseases,Easy,What are the symptoms of blast disease in rice?,1,irri_diseases.pdf,1
1,Diseases,Easy,What are the symptoms of blast disease in rice?,3,manual_on_rice_cultivation_Mozambique.pdf,1
1,Diseases,Easy,What are the symptoms of blast disease in rice?,4,pest_control.pdf,0
1,Diseases,Easy,What are the symptoms of blast disease in rice?,1,pests_irri.pdf,0
1,Diseases,Easy,What are the symptoms of blast disease in rice?,3,rice_cultivation.pdf,1
1,Diseases,Easy,What are the symptoms of blast disease in rice?,5,varieties_of_rice.pdf,0
2,Diseases,Easy,What are the symptoms of bacterial leaf blight?,5,1-FERTILIZING 00.pdf,0
2,Diseases,Easy,What are the symptoms of bacterial leaf blight?,4,2-6-Diseases-of-Rice.pdf,1
2,Diseases,Easy,What are the symptoms of bacterial leaf blight?,4,Paddy.pdf,1
2,Diseases,Easy,What are the symptoms of bacterial leaf blight?,1,Rice.pdf,1
2,Diseases,Easy,What are the symptoms of bacterial leaf blight?,2,diseases_of_rice.pdf,1
2,Diseases,Easy,What are the symptoms of bacterial leaf blight?,4,indian_rice_varieties.pdf,0
2,Diseases,Easy,What are the symptoms of bacterial leaf blight?,1,irri_diseases.pdf,1
2,Diseases,Easy,What are the symptoms of bacterial leaf blight?,5,pest_control.pdf,0
2,Diseases,Easy,What are the symptoms of bacterial leaf blight?,2,pests_irri.pdf,0
2,Diseases,Easy,What are the symptoms of bacterial leaf blight?,3,rice_cultivation.pdf,1
3,Diseases,Easy,What causes brown spot disease in rice?,4,2-6-Diseases-of-Rice.pdf,1
3,Diseases,Easy,What causes brown spot disease in rice?,5,Rice.pdf,1
3,Diseases,Easy,What causes brown spot disease in rice?,2,Weed-management-in-rice-.pdf,1
3,Diseases,Easy,What causes brown spot disease in rice?,3,diseases_of_rice.pdf,1
3,Diseases,Easy,What causes brown spot disease in rice?,1,irri_diseases.pdf,1
3,Diseases,Easy,What causes brown spot disease in rice?,3,manual_on_rice_cultivation_Mozambique.pdf,1
3,Diseases,Easy,What causes brown spot disease in rice?,2,nutrient_management_manual.pdf,0
3,Diseases,Easy,What causes brown spot disease in rice?,4,pest_control.pdf,0
3,Diseases,Easy,What causes brown spot disease in rice?,1,pests_irri.pdf,0
3,Diseases,Easy,What causes brown spot disease in rice?,5,rice_cultivation.pdf,1
4,Diseases,Easy,How can sheath blight be identified?,2,2-6-Diseases-of-Rice.pdf,1
4,Diseases,Easy,How can sheath blight be identified?,3,AGRICULTURE AND IRRIGATION.pdf,1
4,Diseases,Easy,How can sheath blight be identified?,3,diseases_of_rice.pdf,1
4,Diseases,Easy,How can sheath blight be identified?,5,govt_schemes.pdf,0
4,Diseases,Easy,How can sheath blight be identified?,1,irri_diseases.pdf,1
4,Diseases,Easy,How can sheath blight be identified?,1,irrigation manual.pdf,0
4,Diseases,Easy,How can sheath blight be identified?,4,manual_on_rice_cultivation_Mozambique.pdf,1
4,Diseases,Easy,How can sheath blight be identified?,4,pest_control.pdf,1
4,Diseases,Easy,How can sheath blight be identified?,5,rice_cultivation.pdf,1
5,Diseases,Easy,What are the common fungal diseases affecting paddy?,5,1-FERTILIZING 00.pdf,0
5,Diseases,Easy,What are the common fungal diseases affecting paddy?,1,2-6-Diseases-of-Rice.pdf,1
5,Diseases,Easy,What are the common fungal diseases affecting paddy?,1,Rice.pdf,1
5,Diseases,Easy,What are the common fungal diseases affecting paddy?,2,diseases_of_rice.pdf,1
5,Diseases,Easy,What are the common fungal diseases affecting paddy?,4,irri_diseases.pdf,1
5,Diseases,Easy,What are the common fungal diseases affecting paddy?,5,pest_control.pdf,0
5,Diseases,Easy,What are the common fungal diseases affecting paddy?,2,pests_irri.pdf,0
5,Diseases,Easy,What are the common fungal diseases affecting paddy?,3,rice_cultivation.pdf,1
5,Diseases,Easy,What are the common fungal diseases affecting paddy?,3,rice_varieties.pdf,0
6,Diseases,Medium,How can blast disease be managed in rice cultivation?,2,12-Steps-Required-for-Successful-Rice-Production.pdf,0
6,Diseases,Medium,How can blast disease be managed in rice cultivation?,5,2-6-Diseases-of-Rice.pdf,1
6,Diseases,Medium,How can blast disease be managed in rice cultivation?,4,Paddy.pdf,1
